assigned_by,origin_station,destination_station,mission_type,crew_status,navigation_mode,car_color,last_telemetry_message,ship_serial_number
Tamsin Ryx,Orryx Haven,Lunaris Port,commute,automated,auto,LavenderBlush,Fuel low. Navigating around debris.,CXS-1831-MS
Tamsin Ryx,Cryon Reach,Cerebra Ring,commute,automated,auto,MintCream,Power levels nominal. Adjusting trajectory.,CXS-2641-SJ
Commander Yulo,Cerebra Ring,Orryx Haven,commute,automated,auto,LightYellow,Power levels nominal. Adjusting trajectory.,CXS-3252-AV
Marshal Keir,Lunaris Port,Helion Hub,commute,automated,auto,Orchid,Clear path confirmed. Continuing cruise.,CXS-8793-IA
Tamsin Ryx,Thalos Crossing,Helion Hub,commute,automated,auto,BurlyWood,Re-routing due to unstable path.,CXS-6262-TX
Dr. Calix Renner,Zenthar Relay,Cerebra Ring,commute,automated,auto,SpringGreen,Power levels nominal. Adjusting trajectory.,CXS-4804-JY
Zara Strix,Lunaris Port,Orryx Haven,commute,automated,auto,Khaki,Fuel low. Navigating around debris.,CXS-1595-TZ
Commander Yulo,Cerebra Ring,Thalos Crossing,commute,automated,auto,MidnightBlue,Fuel low. Navigating around debris.,CXS-5742-HU
Axel Orov,Lunaris Port,Vega Spire,commute,automated,auto,Gold,Minor vibration detected. Monitoring systems.,CXS-2758-TI
Commander Yulo,Helion Hub,Orryx Haven,commute,automated,auto,DarkSlateGray,Minor vibration detected. Monitoring systems.,CXS-9590-UD
Commander Yulo,Thalos Crossing,Vega Spire,commute,automated,auto,BlueViolet,Re-routing due to unstable path.,CXS-4159-JZ
Marshal Keir,Vega Spire,Cryon Reach,commute,automated,auto,Purple,Clear path confirmed. Continuing cruise.,CXS-5215-BS
Captain Kael,Orryx Haven,Lunaris Port,commute,automated,auto,Moccasin,Re-routing due to unstable path.,CXS-4164-XE
Zara Strix,Orryx Haven,Helion Hub,commute,automated,auto,DarkGoldenRod,Clear path confirmed. Continuing cruise.,CXS-9442-JK
Zara Strix,Helion Hub,Lunaris Port,commute,automated,auto,PapayaWhip,Power levels nominal. Adjusting trajectory.,CXS-4027-FG
Captain Kael,Orryx Haven,Zenthar Relay,commute,automated,auto,DarkSeaGreen,Fuel low. Navigating around debris.,CXS-1111-ZR
Tamsin Ryx,Zenthar Relay,Cryon Reach,commute,automated,auto,Moccasin,Clear path confirmed. Continuing cruise.,CXS-5374-QQ
Dr. Calix Renner,Helion Hub,Orryx Haven,commute,automated,auto,LightPink,Re-routing due to unstable path.,CXS-6890-FI
Elia Vorn,Cryon Reach,Lunaris Port,commute,automated,auto,SkyBlue,Clear path confirmed. Continuing cruise.,CXS-6026-ZJ
Axel Orov,Orryx Haven,Zenthar Relay,commute,automated,auto,MediumSlateBlue,Power levels nominal. Adjusting trajectory.,CXS-5833-ZD
Tamsin Ryx,Helion Hub,Zenthar Relay,commute,automated,auto,SeaGreen,Fuel low. Navigating around debris.,CXS-3188-CE
Commander Yulo,Thalos Crossing,Vega Spire,commute,automated,auto,Ivory,Minor vibration detected. Monitoring systems.,CXS-7121-VX
Commander Yulo,Cerebra Ring,Helion Hub,commute,automated,auto,Orchid,Minor vibration detected. Monitoring systems.,CXS-4578-ZR
Elia Vorn,Cryon Reach,Cerebra Ring,commute,automated,auto,Moccasin,Minor vibration detected. Monitoring systems.,CXS-8319-CZ
Elia Vorn,Helion Hub,Lunaris Port,commute,automated,auto,Orchid,Power levels nominal. Adjusting trajectory.,CXS-9972-AI
Marshal Keir,Cryon Reach,Helion Hub,commute,automated,auto,WhiteSmoke,Fuel low. Navigating around debris.,CXS-6375-DO
Tamsin Ryx,Thalos Crossing,Lunaris Port,commute,automated,auto,NavajoWhite,Minor vibration detected. Monitoring systems.,CXS-9008-VX
Commander Yulo,Vega Spire,Helion Hub,commute,automated,auto,LightGray,Power levels nominal. Adjusting trajectory.,CXS-8429-SM
Zara Strix,Orryx Haven,Helion Hub,commute,automated,auto,Navy,Clear path confirmed. Continuing cruise.,CXS-1945-DV
Axel Orov,Thalos Crossing,Helion Hub,commute,automated,auto,Lavender,Power levels nominal. Adjusting trajectory.,CXS-7487-PA
Dr. Calix Renner,Zenthar Relay,Thalos Crossing,commute,automated,auto,MediumOrchid,Fuel low. Navigating around debris.,CXS-2196-TH
Captain Kael,Lunaris Port,Zenthar Relay,commute,automated,auto,Coral,Power levels nominal. Adjusting trajectory.,CXS-9866-UO
Commander Yulo,Lunaris Port,Vega Spire,commute,automated,auto,LimeGreen,Power levels nominal. Adjusting trajectory.,CXS-5703-UN
Marshal Keir,Cerebra Ring,Vega Spire,commute,automated,auto,DarkOrange,Clear path confirmed. Continuing cruise.,CXS-7135-EB
Zara Strix,Cerebra Ring,Cryon Reach,commute,automated,auto,Blue,Clear path confirmed. Continuing cruise.,CXS-2314-JP
Captain Kael,Orryx Haven,Cerebra Ring,commute,automated,auto,DarkOrange,Power levels nominal. Adjusting trajectory.,CXS-3924-DH
Marshal Keir,Cerebra Ring,Zenthar Relay,commute,automated,auto,WhiteSmoke,Fuel low. Navigating around debris.,CXS-1056-EM
Commander Yulo,Lunaris Port,Cryon Reach,commute,automated,auto,SaddleBrown,Minor vibration detected. Monitoring systems.,CXS-7948-LV
Tamsin Ryx,Cerebra Ring,Thalos Crossing,commute,automated,auto,Yellow,Fuel low. Navigating around debris.,CXS-8546-NS
Axel Orov,Helion Hub,Vega Spire,commute,automated,auto,DeepSkyBlue,Fuel low. Navigating around debris.,CXS-2848-NU
Zara Strix,Lunaris Port,Thalos Crossing,commute,automated,auto,DarkGreen,Minor vibration detected. Monitoring systems.,CXS-1256-PT
Elia Vorn,Cryon Reach,Vega Spire,commute,automated,auto,PaleTurquoise,Power levels nominal. Adjusting trajectory.,CXS-1550-IB
Dr. Calix Renner,Thalos Crossing,Zenthar Relay,commute,automated,auto,NavajoWhite,Fuel low. Navigating around debris.,CXS-1724-GO
Tamsin Ryx,Cerebra Ring,Cryon Reach,commute,automated,auto,Red,Minor vibration detected. Monitoring systems.,CXS-4559-HL
Axel Orov,Lunaris Port,Orryx Haven,commute,automated,auto,DarkGreen,Fuel low. Navigating around debris.,CXS-6224-VL
Axel Orov,Helion Hub,Vega Spire,commute,automated,auto,YellowGreen,Fuel low. Navigating around debris.,CXS-9540-UL
Axel Orov,Cryon Reach,Zenthar Relay,commute,automated,auto,Chocolate,Re-routing due to unstable path.,CXS-1998-MI
Zara Strix,Orryx Haven,Cerebra Ring,commute,automated,auto,Gold,Minor vibration detected. Monitoring systems.,CXS-9120-DO
Zara Strix,Lunaris Port,Cryon Reach,commute,automated,auto,DarkGoldenRod,Minor vibration detected. Monitoring systems.,CXS-6222-VG
Marshal Keir,Cerebra Ring,Cryon Reach,commute,automated,auto,Beige,Re-routing due to unstable path.,CXS-7167-BZ
Commander Yulo,Orryx Haven,Thalos Crossing,commute,automated,auto,MediumSeaGreen,Fuel low. Navigating around debris.,CXS-4692-HE
Marshal Keir,Zenthar Relay,Thalos Crossing,commute,automated,auto,GreenYellow,Clear path confirmed. Continuing cruise.,CXS-1944-CY
Marshal Keir,Cerebra Ring,Cryon Reach,commute,automated,auto,HoneyDew,Clear path confirmed. Continuing cruise.,CXS-4978-SG
Captain Kael,Zenthar Relay,Vega Spire,commute,automated,auto,Lavender,Power levels nominal. Adjusting trajectory.,CXS-8369-KY
Tamsin Ryx,Helion Hub,Lunaris Port,commute,automated,auto,DarkViolet,Power levels nominal. Adjusting trajectory.,CXS-5398-ZT
Dr. Calix Renner,Cerebra Ring,Helion Hub,commute,automated,auto,AliceBlue,Power levels nominal. Adjusting trajectory.,CXS-4082-IE
Tamsin Ryx,Cryon Reach,Zenthar Relay,commute,automated,auto,DarkSeaGreen,Re-routing due to unstable path.,CXS-5967-RI
Tamsin Ryx,Lunaris Port,Orryx Haven,commute,automated,auto,ForestGreen,Power levels nominal. Adjusting trajectory.,CXS-8846-DV
Tamsin Ryx,Cryon Reach,Cerebra Ring,commute,automated,auto,Bisque,Clear path confirmed. Continuing cruise.,CXS-4921-EA
Axel Orov,Helion Hub,Thalos Crossing,commute,automated,auto,MintCream,Clear path confirmed. Continuing cruise.,CXS-8639-ZZ
Axel Orov,Helion Hub,Orryx Haven,commute,automated,auto,LavenderBlush,Re-routing due to unstable path.,CXS-9401-SK
Elia Vorn,Thalos Crossing,Cryon Reach,commute,automated,auto,Azure,Clear path confirmed. Continuing cruise.,CXS-6246-FI
Captain Kael,Cryon Reach,Orryx Haven,commute,automated,auto,CadetBlue,Clear path confirmed. Continuing cruise.,CXS-1749-EX
Marshal Keir,Cryon Reach,Cerebra Ring,commute,automated,auto,PeachPuff,Power levels nominal. Adjusting trajectory.,CXS-5272-QD
Marshal Keir,Cerebra Ring,Orryx Haven,commute,automated,auto,Coral,Fuel low. Navigating around debris.,CXS-6404-PO
Tamsin Ryx,Cryon Reach,Zenthar Relay,commute,automated,auto,MistyRose,Clear path confirmed. Continuing cruise.,CXS-6530-QS
Commander Yulo,Zenthar Relay,Thalos Crossing,commute,automated,auto,DarkMagenta,Clear path confirmed. Continuing cruise.,CXS-8550-OQ
Captain Kael,Orryx Haven,Cerebra Ring,commute,automated,auto,Indigo,Fuel low. Navigating around debris.,CXS-3293-TB
Dr. Calix Renner,Thalos Crossing,Vega Spire,commute,automated,auto,Turquoise,Minor vibration detected. Monitoring systems.,CXS-1554-JO
Dr. Calix Renner,Vega Spire,Thalos Crossing,commute,automated,auto,Black,Power levels nominal. Adjusting trajectory.,CXS-7756-BP
Tamsin Ryx,Orryx Haven,Thalos Crossing,commute,automated,auto,PaleGoldenRod,Power levels nominal. Adjusting trajectory.,CXS-3474-NV
Commander Yulo,Lunaris Port,Orryx Haven,commute,automated,auto,DarkMagenta,Re-routing due to unstable path.,CXS-1990-PW
Commander Yulo,Thalos Crossing,Helion Hub,commute,automated,auto,Red,Power levels nominal. Adjusting trajectory.,CXS-1108-CC
Dr. Calix Renner,Cerebra Ring,Lunaris Port,commute,automated,auto,MediumBlue,Minor vibration detected. Monitoring systems.,CXS-5501-TE
Zara Strix,Zenthar Relay,Lunaris Port,commute,automated,auto,Coral,Fuel low. Navigating around debris.,CXS-2753-EI
Marshal Keir,Vega Spire,Helion Hub,commute,automated,auto,MediumOrchid,Fuel low. Navigating around debris.,CXS-4144-MT
Captain Kael,Zenthar Relay,Thalos Crossing,commute,automated,auto,Wheat,Re-routing due to unstable path.,CXS-7502-JO
Zara Strix,Vega Spire,Cryon Reach,commute,automated,auto,Tan,Clear path confirmed. Continuing cruise.,CXS-4984-TN
Elia Vorn,Cryon Reach,Orryx Haven,commute,automated,auto,DarkGreen,Power levels nominal. Adjusting trajectory.,CXS-2531-ZW
Zara Strix,Cerebra Ring,Cryon Reach,commute,automated,auto,DarkOrange,Minor vibration detected. Monitoring systems.,CXS-8798-UU
Dr. Calix Renner,Lunaris Port,Cerebra Ring,commute,automated,auto,IndianRed,Fuel low. Navigating around debris.,CXS-2354-NO
Zara Strix,Thalos Crossing,Cerebra Ring,commute,automated,auto,Khaki,Re-routing due to unstable path.,CXS-2562-NK
Tamsin Ryx,Lunaris Port,Orryx Haven,commute,automated,auto,SaddleBrown,Minor vibration detected. Monitoring systems.,CXS-8790-MN
Elia Vorn,Zenthar Relay,Lunaris Port,commute,automated,auto,DarkGray,Re-routing due to unstable path.,CXS-9897-KN
Captain Kael,Lunaris Port,Orryx Haven,commute,automated,auto,Maroon,Power levels nominal. Adjusting trajectory.,CXS-4394-VI
Zara Strix,Orryx Haven,Thalos Crossing,commute,automated,auto,Navy,Power levels nominal. Adjusting trajectory.,CXS-5903-EV
Tamsin Ryx,Orryx Haven,Helion Hub,commute,automated,auto,Sienna,Minor vibration detected. Monitoring systems.,CXS-7375-CC
Marshal Keir,Helion Hub,Cryon Reach,commute,automated,auto,DarkBlue,Power levels nominal. Adjusting trajectory.,CXS-9204-CN
Elia Vorn,Helion Hub,Lunaris Port,commute,automated,auto,DarkGray,Clear path confirmed. Continuing cruise.,CXS-4803-XX
Zara Strix,Vega Spire,Cryon Reach,commute,automated,auto,Navy,Re-routing due to unstable path.,CXS-1485-ZE
Commander Yulo,Zenthar Relay,Thalos Crossing,commute,automated,auto,Chocolate,Clear path confirmed. Continuing cruise.,CXS-4737-SR
Zara Strix,Helion Hub,Zenthar Relay,commute,automated,auto,MediumPurple,Clear path confirmed. Continuing cruise.,CXS-4043-VD
Axel Orov,Cerebra Ring,Lunaris Port,commute,automated,auto,PaleVioletRed,Fuel low. Navigating around debris.,CXS-2204-LV
Marshal Keir,Vega Spire,Cryon Reach,commute,automated,auto,Peru,Clear path confirmed. Continuing cruise.,CXS-3527-XB
Captain Kael,Cerebra Ring,Orryx Haven,commute,automated,auto,LightSlateGray,Power levels nominal. Adjusting trajectory.,CXS-2499-TJ
Commander Yulo,Lunaris Port,Cryon Reach,commute,automated,auto,MidnightBlue,Re-routing due to unstable path.,CXS-5419-DS
Elia Vorn,Vega Spire,Orryx Haven,commute,automated,auto,Tan,Fuel low. Navigating around debris.,CXS-8061-GE
Zara Strix,Thalos Crossing,Zenthar Relay,commute,automated,auto,SkyBlue,Power levels nominal. Adjusting trajectory.,CXS-1430-HD
Elia Vorn,Vega Spire,Cryon Reach,commute,automated,auto,MediumVioletRed,Minor vibration detected. Monitoring systems.,CXS-6315-RL
Axel Orov,Cerebra Ring,Lunaris Port,commute,automated,auto,DarkOrange,Clear path confirmed. Continuing cruise.,CXS-7353-YI
Tamsin Ryx,Vega Spire,Cerebra Ring,commute,automated,auto,Ivory,Minor vibration detected. Monitoring systems.,CXS-9537-ZN
Zara Strix,Orryx Haven,Cerebra Ring,commute,automated,auto,Bisque,Fuel low. Navigating around debris.,CXS-3274-TV
Axel Orov,Zenthar Relay,Orryx Haven,commute,automated,auto,LightGreen,Clear path confirmed. Continuing cruise.,CXS-3390-AF
Zara Strix,Vega Spire,Orryx Haven,commute,automated,auto,LightPink,Re-routing due to unstable path.,CXS-7899-WY
Elia Vorn,Zenthar Relay,Cryon Reach,commute,automated,auto,Magenta,Re-routing due to unstable path.,CXS-5123-KL
Commander Yulo,Cryon Reach,Cerebra Ring,commute,automated,auto,AntiqueWhite,Minor vibration detected. Monitoring systems.,CXS-4203-FE
Marshal Keir,Thalos Crossing,Lunaris Port,commute,automated,auto,PaleGoldenRod,Re-routing due to unstable path.,CXS-1110-CE
Zara Strix,Cerebra Ring,Orryx Haven,commute,automated,auto,Black,Re-routing due to unstable path.,CXS-8212-CX
Marshal Keir,Helion Hub,Cryon Reach,commute,automated,auto,Wheat,Re-routing due to unstable path.,CXS-6253-GM
Captain Kael,Cryon Reach,Zenthar Relay,commute,automated,auto,PeachPuff,Fuel low. Navigating around debris.,CXS-7524-OK
Commander Yulo,Helion Hub,Orryx Haven,commute,automated,auto,DimGray,Minor vibration detected. Monitoring systems.,CXS-4971-LJ
Axel Orov,Helion Hub,Cryon Reach,commute,automated,auto,MediumOrchid,Clear path confirmed. Continuing cruise.,CXS-6980-YS
Tamsin Ryx,Vega Spire,Helion Hub,commute,automated,auto,DarkBlue,Minor vibration detected. Monitoring systems.,CXS-9939-BE
Dr. Calix Renner,Orryx Haven,Cerebra Ring,commute,automated,auto,DimGray,Clear path confirmed. Continuing cruise.,CXS-4434-YT
Axel Orov,Thalos Crossing,Cerebra Ring,commute,automated,auto,BurlyWood,Power levels nominal. Adjusting trajectory.,CXS-7703-VC
Axel Orov,Thalos Crossing,Vega Spire,commute,automated,auto,LightPink,Fuel low. Navigating around debris.,CXS-5139-OV
Zara Strix,Orryx Haven,Cerebra Ring,commute,automated,auto,Peru,Clear path confirmed. Continuing cruise.,CXS-2211-PT
Commander Yulo,Thalos Crossing,Zenthar Relay,commute,automated,auto,Red,Minor vibration detected. Monitoring systems.,CXS-7566-NI
Dr. Calix Renner,Cerebra Ring,Zenthar Relay,commute,automated,auto,IndianRed,Re-routing due to unstable path.,CXS-9796-YQ
Tamsin Ryx,Vega Spire,Lunaris Port,commute,automated,auto,DarkOrange,Re-routing due to unstable path.,CXS-3725-LN
Zara Strix,Lunaris Port,Helion Hub,commute,automated,auto,DarkOliveGreen,Re-routing due to unstable path.,CXS-8052-JV
Elia Vorn,Vega Spire,Lunaris Port,commute,automated,auto,SlateBlue,Re-routing due to unstable path.,CXS-4637-QV
Captain Kael,Cryon Reach,Zenthar Relay,commute,automated,auto,Linen,Clear path confirmed. Continuing cruise.,CXS-8586-BH
Dr. Calix Renner,Orryx Haven,Cryon Reach,commute,automated,auto,Orchid,Clear path confirmed. Continuing cruise.,CXS-2712-TB
Elia Vorn,Zenthar Relay,Cryon Reach,commute,automated,auto,AntiqueWhite,Power levels nominal. Adjusting trajectory.,CXS-3321-GJ
Captain Kael,Helion Hub,Orryx Haven,commute,automated,auto,HotPink,Clear path confirmed. Continuing cruise.,CXS-4389-YE
Commander Yulo,Thalos Crossing,Orryx Haven,commute,automated,auto,LightCyan,Power levels nominal. Adjusting trajectory.,CXS-8178-JK
Elia Vorn,Thalos Crossing,Orryx Haven,commute,automated,auto,DarkOrchid,Re-routing due to unstable path.,CXS-1732-AP
Captain Kael,Vega Spire,Lunaris Port,commute,automated,auto,Plum,Power levels nominal. Adjusting trajectory.,CXS-3692-FE
Marshal Keir,Cryon Reach,Helion Hub,commute,automated,auto,Olive,Minor vibration detected. Monitoring systems.,CXS-3623-RW
Zara Strix,Helion Hub,Zenthar Relay,commute,automated,auto,Khaki,Clear path confirmed. Continuing cruise.,CXS-4798-QR
Marshal Keir,Cerebra Ring,Helion Hub,commute,automated,auto,MidnightBlue,Fuel low. Navigating around debris.,CXS-8080-CM
Tamsin Ryx,Cerebra Ring,Lunaris Port,commute,automated,auto,BlueViolet,Clear path confirmed. Continuing cruise.,CXS-8037-NA
Tamsin Ryx,Cerebra Ring,Lunaris Port,commute,automated,auto,Salmon,Fuel low. Navigating around debris.,CXS-5560-CK
Elia Vorn,Vega Spire,Helion Hub,commute,automated,auto,Pink,Minor vibration detected. Monitoring systems.,CXS-4063-SM
Tamsin Ryx,Helion Hub,Orryx Haven,commute,automated,auto,PapayaWhip,Clear path confirmed. Continuing cruise.,CXS-2867-JD
Commander Yulo,Zenthar Relay,Cerebra Ring,commute,automated,auto,PaleGreen,Minor vibration detected. Monitoring systems.,CXS-6134-AK
Zara Strix,Cerebra Ring,Zenthar Relay,commute,automated,auto,FloralWhite,Minor vibration detected. Monitoring systems.,CXS-2871-ZT
Commander Yulo,Helion Hub,Orryx Haven,commute,automated,auto,Salmon,Minor vibration detected. Monitoring systems.,CXS-3826-WL
Elia Vorn,Zenthar Relay,Helion Hub,commute,automated,auto,DarkCyan,Fuel low. Navigating around debris.,CXS-6131-ND
Axel Orov,Vega Spire,Orryx Haven,commute,automated,auto,LemonChiffon,Power levels nominal. Adjusting trajectory.,CXS-3999-NS
Marshal Keir,Helion Hub,Cerebra Ring,commute,automated,auto,PaleGoldenRod,Minor vibration detected. Monitoring systems.,CXS-7364-QC
Marshal Keir,Cerebra Ring,Zenthar Relay,commute,automated,auto,Orchid,Minor vibration detected. Monitoring systems.,CXS-7286-JX
Commander Yulo,Cerebra Ring,Vega Spire,commute,automated,auto,MediumSlateBlue,Minor vibration detected. Monitoring systems.,CXS-3838-HK
Axel Orov,Orryx Haven,Zenthar Relay,commute,automated,auto,FloralWhite,Fuel low. Navigating around debris.,CXS-4065-CQ
Commander Yulo,Helion Hub,Thalos Crossing,commute,automated,auto,DarkOrange,Minor vibration detected. Monitoring systems.,CXS-1878-QQ
Commander Yulo,Helion Hub,Lunaris Port,commute,automated,auto,GoldenRod,Fuel low. Navigating around debris.,CXS-4196-YL
Commander Yulo,Cerebra Ring,Zenthar Relay,commute,automated,auto,MediumVioletRed,Clear path confirmed. Continuing cruise.,CXS-9056-XU
Commander Yulo,Cerebra Ring,Helion Hub,commute,automated,auto,DarkViolet,Clear path confirmed. Continuing cruise.,CXS-3740-HD
Dr. Calix Renner,Vega Spire,Helion Hub,commute,automated,auto,DarkViolet,Fuel low. Navigating around debris.,CXS-5785-IG
Tamsin Ryx,Lunaris Port,Cryon Reach,commute,automated,auto,ForestGreen,Minor vibration detected. Monitoring systems.,CXS-5729-TE
Commander Yulo,Orryx Haven,Thalos Crossing,commute,automated,auto,Crimson,Minor vibration detected. Monitoring systems.,CXS-9115-FY
Elia Vorn,Vega Spire,Helion Hub,commute,automated,auto,Snow,Re-routing due to unstable path.,CXS-9898-OY
Dr. Calix Renner,Helion Hub,Zenthar Relay,commute,automated,auto,RosyBrown,Clear path confirmed. Continuing cruise.,CXS-9951-VS
Elia Vorn,Cryon Reach,Zenthar Relay,commute,automated,auto,MediumBlue,Fuel low. Navigating around debris.,CXS-5877-UK
Axel Orov,Lunaris Port,Zenthar Relay,commute,automated,auto,DeepPink,Re-routing due to unstable path.,CXS-2425-OC
Elia Vorn,Thalos Crossing,Cerebra Ring,commute,automated,auto,SeaShell,Fuel low. Navigating around debris.,CXS-4438-OU
Zara Strix,Helion Hub,Thalos Crossing,commute,automated,auto,LimeGreen,Fuel low. Navigating around debris.,CXS-3281-ZI
Tamsin Ryx,Cryon Reach,Thalos Crossing,commute,automated,auto,Chartreuse,Power levels nominal. Adjusting trajectory.,CXS-6747-LQ
Marshal Keir,Zenthar Relay,Helion Hub,commute,automated,auto,Cornsilk,Re-routing due to unstable path.,CXS-5794-JO
Axel Orov,Zenthar Relay,Helion Hub,commute,automated,auto,RoyalBlue,Minor vibration detected. Monitoring systems.,CXS-2560-BB
Zara Strix,Orryx Haven,Thalos Crossing,commute,automated,auto,NavajoWhite,Power levels nominal. Adjusting trajectory.,CXS-5543-JC
Marshal Keir,Orryx Haven,Cerebra Ring,commute,automated,auto,DarkGoldenRod,Fuel low. Navigating around debris.,CXS-3396-TT
Tamsin Ryx,Helion Hub,Thalos Crossing,commute,automated,auto,Tan,Clear path confirmed. Continuing cruise.,CXS-9019-MO
Axel Orov,Orryx Haven,Helion Hub,commute,automated,auto,BlueViolet,Clear path confirmed. Continuing cruise.,CXS-7146-OZ
Elia Vorn,Thalos Crossing,Lunaris Port,commute,automated,auto,Gold,Clear path confirmed. Continuing cruise.,CXS-9447-KT
Captain Kael,Zenthar Relay,Cerebra Ring,commute,automated,auto,Sienna,Clear path confirmed. Continuing cruise.,CXS-8996-QE
Dr. Calix Renner,Helion Hub,Zenthar Relay,commute,automated,auto,Chocolate,Power levels nominal. Adjusting trajectory.,CXS-8511-OD
Elia Vorn,Helion Hub,Thalos Crossing,commute,automated,auto,MediumSpringGreen,Minor vibration detected. Monitoring systems.,CXS-7516-WC
Tamsin Ryx,Cryon Reach,Zenthar Relay,commute,automated,auto,Tan,Clear path confirmed. Continuing cruise.,CXS-5399-UF
Axel Orov,Helion Hub,Thalos Crossing,commute,automated,auto,BlueViolet,Re-routing due to unstable path.,CXS-9967-HW
Commander Yulo,Orryx Haven,Helion Hub,commute,automated,auto,Purple,Re-routing due to unstable path.,CXS-1793-OQ
Commander Yulo,Lunaris Port,Vega Spire,commute,automated,auto,Turquoise,Power levels nominal. Adjusting trajectory.,CXS-3035-TF
Commander Yulo,Orryx Haven,Zenthar Relay,commute,automated,auto,Moccasin,Power levels nominal. Adjusting trajectory.,CXS-8009-LJ
Marshal Keir,Cryon Reach,Cerebra Ring,commute,automated,auto,Orange,Re-routing due to unstable path.,CXS-3604-NY
Captain Kael,Zenthar Relay,Lunaris Port,commute,automated,auto,MediumSlateBlue,Re-routing due to unstable path.,CXS-2350-VT
Marshal Keir,Helion Hub,Cerebra Ring,commute,automated,auto,CadetBlue,Power levels nominal. Adjusting trajectory.,CXS-7493-ZU
Tamsin Ryx,Zenthar Relay,Cerebra Ring,commute,automated,auto,MediumSeaGreen,Clear path confirmed. Continuing cruise.,CXS-2494-CK
Tamsin Ryx,Vega Spire,Lunaris Port,commute,automated,auto,DarkGray,Clear path confirmed. Continuing cruise.,CXS-2276-RV
Tamsin Ryx,Orryx Haven,Helion Hub,commute,automated,auto,OliveDrab,Minor vibration detected. Monitoring systems.,CXS-8291-JI
Captain Kael,Lunaris Port,Vega Spire,commute,automated,auto,DeepPink,Power levels nominal. Adjusting trajectory.,CXS-7919-KC
Elia Vorn,Orryx Haven,Zenthar Relay,commute,automated,auto,DarkTurquoise,Fuel low. Navigating around debris.,CXS-7276-LJ
Elia Vorn,Vega Spire,Cerebra Ring,commute,automated,auto,OrangeRed,Power levels nominal. Adjusting trajectory.,CXS-6133-ET
Marshal Keir,Helion Hub,Orryx Haven,commute,automated,auto,DarkBlue,Clear path confirmed. Continuing cruise.,CXS-3181-JR
Dr. Calix Renner,Orryx Haven,Lunaris Port,commute,automated,auto,OldLace,Minor vibration detected. Monitoring systems.,CXS-3688-UZ
Tamsin Ryx,Thalos Crossing,Orryx Haven,commute,automated,auto,MediumPurple,Fuel low. Navigating around debris.,CXS-7745-EV
Tamsin Ryx,Thalos Crossing,Cerebra Ring,commute,automated,auto,Violet,Power levels nominal. Adjusting trajectory.,CXS-2646-CU
Elia Vorn,Orryx Haven,Thalos Crossing,commute,automated,auto,Peru,Minor vibration detected. Monitoring systems.,CXS-7291-QL
Captain Kael,Helion Hub,Cryon Reach,commute,automated,auto,Azure,Fuel low. Navigating around debris.,CXS-5059-LJ
Elia Vorn,Zenthar Relay,Cerebra Ring,commute,automated,auto,Gainsboro,Fuel low. Navigating around debris.,CXS-5668-GK
Axel Orov,Lunaris Port,Thalos Crossing,commute,automated,auto,SlateBlue,Fuel low. Navigating around debris.,CXS-9482-GH
Zara Strix,Cryon Reach,Cerebra Ring,commute,automated,auto,DarkSlateGray,Re-routing due to unstable path.,CXS-1894-EC
Zara Strix,Cryon Reach,Zenthar Relay,commute,automated,auto,LightYellow,Power levels nominal. Adjusting trajectory.,CXS-4949-ZD
Elia Vorn,Thalos Crossing,Helion Hub,commute,automated,auto,Tan,Minor vibration detected. Monitoring systems.,CXS-1197-YR
Marshal Keir,Helion Hub,Orryx Haven,commute,automated,auto,Violet,Clear path confirmed. Continuing cruise.,CXS-7895-BV
Marshal Keir,Helion Hub,Zenthar Relay,commute,automated,auto,MediumSlateBlue,Clear path confirmed. Continuing cruise.,CXS-2195-YT
Elia Vorn,Lunaris Port,Helion Hub,commute,automated,auto,DarkSeaGreen,Power levels nominal. Adjusting trajectory.,CXS-5295-TM
Dr. Calix Renner,Cryon Reach,Lunaris Port,commute,automated,auto,DeepSkyBlue,Clear path confirmed. Continuing cruise.,CXS-9300-FF
Zara Strix,Zenthar Relay,Cerebra Ring,commute,automated,auto,FireBrick,Clear path confirmed. Continuing cruise.,CXS-7590-XO
Marshal Keir,Vega Spire,Cerebra Ring,commute,automated,auto,Brown,Re-routing due to unstable path.,CXS-2369-NL
Tamsin Ryx,Zenthar Relay,Lunaris Port,commute,automated,auto,LavenderBlush,Fuel low. Navigating around debris.,CXS-9788-OT
Elia Vorn,Helion Hub,Cryon Reach,commute,automated,auto,LightSkyBlue,Re-routing due to unstable path.,CXS-8167-YX
Tamsin Ryx,Cryon Reach,Lunaris Port,commute,automated,auto,RosyBrown,Power levels nominal. Adjusting trajectory.,CXS-8118-HR
Dr. Calix Renner,Vega Spire,Zenthar Relay,commute,automated,auto,LawnGreen,Re-routing due to unstable path.,CXS-3877-JZ
Marshal Keir,Vega Spire,Lunaris Port,commute,automated,auto,SeaShell,Power levels nominal. Adjusting trajectory.,CXS-3684-GL
Axel Orov,Thalos Crossing,Orryx Haven,commute,automated,auto,Purple,Fuel low. Navigating around debris.,CXS-7092-OY
Axel Orov,Orryx Haven,Cerebra Ring,commute,automated,auto,LightSkyBlue,Power levels nominal. Adjusting trajectory.,CXS-1480-YM
Zara Strix,Helion Hub,Thalos Crossing,commute,automated,auto,SteelBlue,Re-routing due to unstable path.,CXS-9582-QN
